Qx, Qy, Qz, Qw, x, y, z, q7
0.793949,0.589114,0.150294,0.000266728,0.474223,-0.156696,0.316935,-0.338862
-0.79484,-0.588136,-0.149416,0.000509125,0.473884,-0.156777,0.316712,-0.336377
-0.795296,-0.587524,-0.149396,0.000922097,0.473886,-0.156814,0.316581,-0.335139
0.794741,0.588099,0.150087,0.000463379,0.474294,-0.157019,0.316599,-0.337086
0.795351,0.587145,0.150586,0.00062145,0.474519,-0.157147,0.316735,-0.335339
0.795629,0.586682,0.150923,0.000919464,0.474749,-0.157335,0.316877,-0.334789
0.796151,0.586003,0.150812,0.00108716,0.474913,-0.157519,0.31687,-0.333544
0.796131,0.586113,0.150478,0.00190709,0.475012,-0.15766,0.316793,-0.333704
0.796102,0.586078,0.150768,0.00200178,0.475059,-0.157576,0.316805,-0.33381
0.796668,0.585224,0.151099,0.00144454,0.475118,-0.157439,0.316802,-0.331933
0.796823,0.58513,0.150645,0.00146045,0.475177,-0.157467,0.316766,-0.331538
0.797478,0.584547,0.149441,0.00123336,0.475068,-0.157569,0.31677,-0.329426
0.797009,0.58516,0.149532,0.00195805,0.475248,-0.157556,0.316917,-0.330543
0.797413,0.584701,0.149179,0.00163887,0.475239,-0.157395,0.316939,-0.32871
0.797352,0.584817,0.149049,0.00179906,0.475297,-0.15739,0.316961,-0.328749
0.797205,0.58492,0.14942,0.00255853,0.475509,-0.157427,0.317086,-0.328926
0.797399,0.584644,0.149465,0.00240189,0.47552,-0.157518,0.317172,-0.328494
0.797547,0.58459,0.148881,0.00271135,0.475525,-0.157805,0.317167,-0.32839
0.797906,0.584161,0.148633,0.00332981,0.475483,-0.158169,0.317176,-0.327555
0.797904,0.584227,0.148369,0.00380202,0.475309,-0.158593,0.317082,-0.328334
0.798523,0.583546,0.147723,0.00366556,0.475073,-0.158964,0.316843,-0.326967
0.799007,0.583186,0.146509,0.00412975,0.4749,-0.159534,0.316556,-0.325925
0.798187,0.584068,0.147389,0.00619817,0.475296,-0.160167,0.316536,-0.328917
0.799621,0.58261,0.145398,0.00561679,0.474858,-0.16066,0.316471,-0.324975
0.799934,0.582291,0.144938,0.00597399,0.474855,-0.160952,0.316553,-0.324192
0.80024,0.582015,0.144347,0.00626126,0.474812,-0.161038,0.316798,-0.323005
0.800107,0.582179,0.144341,0.00779605,0.474995,-0.160814,0.317444,-0.321994
0.799713,0.582496,0.145177,0.00904084,0.475466,-0.15985,0.318562,-0.320875
0.799803,0.582051,0.14639,0.0100757,0.476168,-0.158303,0.320469,-0.316617
0.800733,0.580228,0.14831,0.0128867,0.477429,-0.155833,0.323572,-0.305884
0.801032,0.577763,0.155651,0.0176209,0.480201,-0.152245,0.328666,-0.293205
0.800723,0.575381,0.16537,0.0207676,0.483821,-0.146969,0.335256,-0.279394
0.802914,0.568262,0.178628,0.0223489,0.488189,-0.139729,0.343394,-0.251475
0.800761,0.565597,0.195428,0.0262672,0.49363,-0.131227,0.353008,-0.232791
0.792881,0.571037,0.210601,0.0300795,0.498842,-0.121291,0.362538,-0.231293
