x,y,z,Rx,Ry,Rz,q7
-0.0517749,0.399644,0.976321,0.460142,-0.813862,-2.15619,1.1327
-0.278268,-0.288176,1.08625,-0.936719,-1.0676,2.28268,0.2927
0.717836,0.198856,0.732577,2.13638,-0.47854,1.17562,-0.4373
-0.0691584,0.0946916,0.152278,1.66844,0.818794,0.439754,0.5227
0.019217,0.486527,0.368405,-1.99818,1.02626,0.398227,0.2927
-0.72163,0.311673,0.62032,-0.412598,0.318293,1.73722,-0.4673
0.399447,0.180616,0.988013,-1.73975,1.15229,-2.47517,-2.6273
-0.673762,0.0375332,0.54821,-0.953467,0.124306,-1.72933,1.5927
0.219901,-0.53231,0.220696,-1.80223,0.0685696,2.96108,-0.9273
0.281367,-0.134401,0.192616,-2.88021,1.34496,-0.423338,-0.0973
0.335978,-0.112877,1.04595,0.520878,0.410754,0.543109,0.6027
0.208819,0.279307,0.325167,1.75982,-0.096172,-3.08958,2.5327
-0.13832,-0.264984,0.206625,1.42114,-0.876149,-1.41387,2.2227
0.471936,0.505904,0.474969,-2.5806,-0.296324,1.46009,-0.1473
-0.178007,0.169622,0.430164,1.56546,0.901852,-1.96712,-1.4473
0.655814,-0.0362124,0.55419,-0.00740397,-0.88246,-0.893876,-1.1773
0.364672,0.111757,0.844343,-2.91046,0.216715,0.452487,0.4427
-0.32885,-0.537047,0.518044,1.83064,-0.710238,-0.189402,1.8627
-0.397019,-0.194395,0.351767,-2.62764,0.646945,0.923832,1.6827
-0.384477,-0.306639,0.592118,2.32404,1.45702,3.06981,2.6127
-0.234741,-0.134875,1.10739,0.0179964,0.206051,-1.45487,0.6627
0.109676,-0.225776,0.561434,1.35559,-0.553706,1.25944,-2.4673
-0.289537,-0.520677,0.839545,2.13361,0.723306,-0.156509,-1.8273
-0.0251115,0.225597,-0.0181007,-2.54532,-0.840775,0.460671,2.5227
-0.0257034,-0.0106873,1.01197,-2.88803,0.613609,0.887448,2.6427
0.241844,0.297272,0.451923,-0.636712,-0.544614,1.90692,-1.0573
-0.40755,-0.127612,0.00438472,1.51903,0.876251,2.83625,0.7127
-0.747865,-0.337181,0.125569,-2.91243,-0.780303,-3.11546,0.8627
-0.113526,-0.0464678,-0.0278274,2.54836,0.221269,-2.16961,1.6527
0.609711,-0.280475,0.814979,0.486813,-0.851398,1.84245,0.5627
0.464464,0.485743,0.583355,-0.219012,-1.00841,-1.57116,-1.2273
-0.211,-0.297592,0.994321,1.14545,1.36775,-1.53217,-2.6473
-0.523017,-0.436124,0.436104,1.82377,0.771927,1.5549,2.3827
-0.60859,0.0861014,0.478445,-2.87303,-0.873523,-1.34718,-2.1673
0.55618,-0.200229,0.0670513,1.78788,0.817108,-2.24173,0.7727
-0.359834,0.341541,0.256727,-2.28261,0.67722,-0.724694,-1.4873
0.656081,-0.00444646,0.73971,2.04289,-0.579452,2.86165,-2.1273
0.827403,-0.141059,0.191317,2.62827,-0.145473,1.24313,-1.5873
0.373795,0.134153,0.567329,-1.68556,0.813673,-1.20362,0.1527
0.57953,-0.0872882,0.881382,2.09051,-1.24965,2.28445,-1.2573
0.546908,0.023018,0.715022,2.88771,-0.111598,-1.64759,1.6827
0.0352414,0.338117,0.370967,-0.221205,-0.0383359,-0.411099,-1.7173
-0.581654,-0.100713,0.587058,-2.08217,-0.0852724,1.70833,-1.2873
-0.116345,0.29856,0.887082,-3.08121,0.0205018,1.29221,0.1127
0.600004,-0.2994,0.654654,-0.0212717,1.28076,-2.60144,-2.2773
0.460323,0.410625,0.0734383,-2.54262,-0.272445,-2.76778,-2.1673
0.61417,0.0928316,0.174023,1.71301,0.302638,-1.40582,1.5227
-0.40197,-0.424223,0.490644,0.429631,-0.893795,-2.36349,-0.5973
-0.514507,0.213115,0.581128,-2.60203,0.788938,2.35956,1.8127
-0.0803942,0.0282912,0.0536621,-1.50113,-0.169076,2.75218,-2.4773
-0.707669,0.115284,0.714735,-0.926526,0.453947,1.61309,2.3327
0.362825,0.303018,0.658315,-0.496224,-0.261362,-0.0190266,-0.7173
0.290432,0.380189,0.649798,2.39435,-1.20427,-1.97453,-1.1973
0.000726453,0.122121,0.233148,1.09101,0.210565,1.05209,1.2127
-0.444528,-0.445773,0.207456,-2.64192,0.796268,2.92331,0.6927
0.163942,0.472711,0.757919,2.48526,-0.384784,2.85336,-1.8773
0.277008,0.444049,0.576849,2.72121,0.825758,-2.93574,-2.7973
-0.0024013,-0.0938911,1.02984,-2.31222,-0.0713741,2.58893,1.5927
-0.799018,-0.00479917,0.358786,1.77895,-0.754694,-1.70133,2.3227
-0.231726,0.232604,0.306803,-2.62903,0.400274,0.670908,-2.5473
-0.0840648,-0.255198,0.216192,-2.69622,-1.32384,2.97928,0.1927
0.102617,-0.294076,0.971086,0.41185,-0.381961,2.6303,-1.1173
0.798601,-0.0918992,0.621158,-2.50951,-1.34522,-0.761571,0.0227001
-0.539043,-0.216437,0.778295,0.40716,-0.583349,-3.07146,-0.6373
-0.0169923,-0.272302,0.723087,-0.681315,-0.976279,-2.70314,2.4627
0.724277,0.322017,0.612255,0.345494,-1.28037,2.90884,1.5627
-0.122993,0.294966,0.197753,2.62036,0.212074,-2.63732,1.1327
-0.168819,-0.128448,1.1304,-0.246073,0.154296,2.95411,1.9027
-0.0722158,-0.236704,0.191863,0.309448,0.969454,-1.76724,0.8127
0.0677364,0.330305,0.240264,2.21912,-0.503397,0.141918,2.8027
0.809214,-0.124849,0.213868,2.58164,-0.135762,0.0420416,-0.0973
-0.0178302,0.399097,0.285175,2.2032,1.28137,-0.485557,1.0127
-0.343565,-0.543852,0.514535,-3.04072,-0.399096,-1.25909,-0.2373
-0.627712,0.254069,0.326285,2.32546,-0.782494,-2.19454,-2.6273
0.44657,-0.495469,0.180042,2.17383,-1.33135,1.34457,-2.1873
0.636725,-0.334171,0.502672,-2.93954,-0.117484,-0.449185,-0.3673
-0.46368,-0.209965,0.763893,-3.05156,0.122959,-1.67302,-0.5373
0.772815,0.098215,0.676094,-1.58466,0.902935,-1.43863,2.6427
0.00165688,-0.329281,0.407701,0.34961,-0.611446,-0.404971,0.6327
-0.607089,-0.205725,-0.121741,2.80744,-0.169184,2.90323,1.3427
0.48835,-0.236759,0.596015,2.49937,-0.945158,3.08337,2.5327
-0.6331,0.0680149,0.673734,-1.79943,0.625688,3.01396,0.6127
-0.0770524,0.0401267,0.961894,2.71704,-0.0601446,1.83867,-1.3373
0.386503,-0.18093,0.942316,1.9354,0.726187,1.67052,-2.6873
-0.238516,-0.502423,0.465372,-0.206632,0.179707,-2.74354,-1.0373
-0.0800952,0.491975,0.177316,2.4448,0.524392,2.93492,-2.1373
0.000244032,-0.0702409,0.543643,1.43964,-0.419917,2.22845,-0.1173
0.0981624,0.539375,0.407701,3.06757,0.444355,3.04613,-1.0073
-0.20126,-0.32221,0.369138,1.28101,-0.284886,-2.60505,1.4627
0.0759398,-0.245583,0.467534,-0.896359,0.426199,0.602275,0.5027
0.635845,-0.311155,0.234819,0.573817,-0.531283,-0.245977,1.0427
0.117434,-0.0692463,0.4938,0.58595,-0.652571,-1.23871,-1.9873
-0.470542,-0.232965,-0.176642,2.43044,0.84382,0.257644,0.4327
0.554223,-0.107904,0.70274,-2.25634,-0.648494,1.01954,-0.3373
0.19345,-0.110263,0.152941,1.74117,0.438548,1.07756,-0.5373
0.0883146,-0.114317,0.388752,2.00863,0.27326,-1.46504,1.1527
0.184839,-0.243038,1.04512,-0.223944,0.23019,0.547638,2.5727
0.0859865,-0.17606,0.02857,1.03509,0.832205,-2.17148,0.3127
-0.578122,0.276792,0.532887,1.54073,0.469812,1.86857,-0.3773
-0.00355176,0.185609,1.05998,-0.29686,0.723633,-1.40075,2.5927
0.695791,0.17525,0.0671204,-3.00574,-0.811427,0.264432,-2.6473
0.0385348,0.124216,-0.0709545,2.50533,0.649738,-0.759822,-1.0873
0.118858,-0.519951,0.149102,1.7572,0.18346,-0.555185,1.3627
-0.121569,-0.17513,1.16044,-0.125108,0.511743,-0.656529,2.2727
